date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:01:29	533/533	---MCZ	500	error ('Internal%20Server%20Error')	text/html	date:Mon,%2016%20Mar%202026%2010:01:28%20GMT	http://47.83.121.72/robots.txt		(from )
18:01:30	15828/15828	---MCZ	200	added ('OK')	text/html	date:Mon,%2016%20Mar%202026%2010:01:29%20GMT	http://47.83.121.72/	/Users/liuyi/Desktop/omeka-site/47.83.121.72/index.html	(from )
18:01:30	13177/13177	---MCZ	200	added ('OK')	application/rss+xml	date:Mon,%2016%20Mar%202026%2010:01:30%20GMT	http://47.83.121.72/items/browse?output=rss2	/Users/liuyi/Desktop/omeka-site/47.83.121.72/items/browsef515	(from http://47.83.121.72/)
18:01:31	12799/12799	---MCZ	200	added ('OK')	application/atom+xml	date:Mon,%2016%20Mar%202026%2010:01:31%20GMT	http://47.83.121.72/items/browse?output=atom	/Users/liuyi/Desktop/omeka-site/47.83.121.72/items/browse7911	(from http://47.83.121.72/)
18:01:32	867/867	---M--	200	added ('OK')	text/css	etag:%22363-63d6833f74480%22	http://47.83.121.72/plugins/ExhibitBuilder/views/public/css/exhibits.css?v=3.2	/Users/liuyi/Desktop/omeka-site/47.83.121.72/plugins/ExhibitBuilder/views/public/css/exhibitsf3ee.css	(from http://47.83.121.72/)
18:01:33	2629/2629	---M--	200	added ('OK')	text/css	etag:%22a45-63d6833f74480%22	http://47.83.121.72/plugins/ExhibitBuilder/views/public/css/jcarousel.responsive.css?v=3.2	/Users/liuyi/Desktop/omeka-site/47.83.121.72/plugins/ExhibitBuilder/views/public/css/jcarousel.responsivef3ee.css	(from http://47.83.121.72/)
18:01:35	926/926	---M--	200	added ('OK')	text/css	etag:%2239e-63d6833ba3b80%22	http://47.83.121.72/application/views/scripts/css/iconfonts.css?v=3.2	/Users/liuyi/Desktop/omeka-site/47.83.121.72/application/views/scripts/css/iconfontsf3ee.css	(from http://47.83.121.72/)
18:01:36	630/630	---M--	200	added ('OK')	text/css	etag:%22276-63d6833ba3b80%22	http://47.83.121.72/application/views/scripts/css/public.css?v=3.2	/Users/liuyi/Desktop/omeka-site/47.83.121.72/application/views/scripts/css/publicf3ee.css	(from http://47.83.121.72/)
18:01:39	44272/44272	---M--	200	added ('OK')	text/css	etag:%22acf0-64a3a9fa6ddf5%22	http://47.83.121.72/themes/lily/css/style.css?v=3.2	/Users/liuyi/Desktop/omeka-site/47.83.121.72/themes/lily/css/stylef3ee.css	(from http://47.83.121.72/)
18:01:39	7106/7106	---M--	200	added ('OK')	text/javascript	etag:%221bc2-63d6833ba3b80%22	http://47.83.121.72/application/views/scripts/javascripts/vendor/jquery.ui.touch-punch.js	/Users/liuyi/Desktop/omeka-site/47.83.121.72/application/views/scripts/javascripts/vendor/jquery.ui.touch-punch.js	(from http://47.83.121.72/)
